time,source_IP,destination_IP,source_Port,destination_Port,package_length
2.097465,39.1.101.199,192.168.212.37,3659,3659,69
2.116413,192.168.212.37,39.1.101.199,3659,3659,69
2.11841,39.1.101.199,192.168.212.37,3659,3659,69
2.137358,192.168.212.37,39.1.101.199,3659,3659,69
2.138355,39.1.101.199,192.168.212.37,3659,3659,69
2.157309,192.168.212.37,39.1.101.199,3659,3659,69
2.1603,39.1.101.199,192.168.212.37,3659,3659,69
2.178244,192.168.212.37,39.1.101.199,3659,3659,69
2.180238,39.1.101.199,192.168.212.37,3659,3659,69
2.193867,192.168.212.37,35.215.187.112,50697,50001,36
2.198812,192.168.212.37,39.1.101.199,3659,3659,69
2.201803,39.1.101.199,192.168.212.37,3659,3659,69
2.219756,192.168.212.37,39.1.101.199,3659,3659,69
2.221788,39.1.101.199,192.168.212.37,3659,3659,69
2.239702,192.168.212.37,39.1.101.199,3659,3659,69
2.242733,39.1.101.199,192.168.212.37,3659,3659,69
2.260647,192.168.212.37,39.1.101.199,3659,3659,69
2.263677,39.1.101.199,192.168.212.37,3659,3659,69
2.265672,192.168.212.37,35.215.187.112,50697,50001,60
2.281591,192.168.212.37,39.1.101.199,3659,3659,69
2.284616,39.1.101.199,192.168.212.37,3659,3659,69
2.301537,192.168.212.37,39.1.101.199,3659,3659,69
2.305576,39.1.101.199,192.168.212.37,3659,3659,69
2.322481,192.168.212.37,39.1.101.199,3659,3659,69
2.326469,39.1.101.199,192.168.212.37,3659,3659,69
2.343426,192.168.212.37,39.1.101.199,3659,3659,69
2.347067,39.1.101.199,192.168.212.37,3659,3659,69
2.36361,192.168.212.37,39.1.101.199,3659,3659,69
2.368595,39.1.101.199,192.168.212.37,3659,3659,69
2.374581,39.1.101.199,192.168.212.37,3659,3659,64
2.384553,192.168.212.37,39.1.101.199,3659,3659,69
2.38954,39.1.101.199,192.168.212.37,3659,3659,69
2.404499,192.168.212.37,39.1.101.199,3659,3659,69
2.409525,39.1.101.199,192.168.212.37,3659,3659,69
2.425445,192.168.212.37,39.1.101.199,3659,3659,69
2.430471,39.1.101.199,192.168.212.37,3659,3659,69
2.446332,192.168.212.37,39.1.101.199,3659,3659,69
2.451357,39.1.101.199,192.168.212.37,3659,3659,69
2.467276,192.168.212.37,39.1.101.199,3659,3659,69
2.472312,39.1.101.199,192.168.212.37,3659,3659,69
2.487223,192.168.212.37,39.1.101.199,3659,3659,69
2.493245,39.1.101.199,192.168.212.37,3659,3659,69
2.508168,192.168.212.37,39.1.101.199,3659,3659,69
2.51415,39.1.101.199,192.168.212.37,3659,3659,69
2.529109,192.168.212.37,39.1.101.199,3659,3659,69
2.535094,39.1.101.199,192.168.212.37,3659,3659,69
2.548567,192.168.212.37,39.1.101.199,3659,3659,69
2.55535,39.1.101.199,192.168.212.37,3659,3659,69
2.569281,192.168.212.37,39.1.101.199,3659,3659,69
2.576262,39.1.101.199,192.168.212.37,3659,3659,69
2.590226,192.168.212.37,39.1.101.199,3659,3659,69
2.597243,39.1.101.199,192.168.212.37,3659,3659,69
2.610172,192.168.212.37,39.1.101.199,3659,3659,69
2.618151,39.1.101.199,192.168.212.37,3659,3659,69
2.631165,192.168.212.37,39.1.101.199,3659,3659,69
2.638655,39.1.101.199,192.168.212.37,3659,3659,53
2.638655,192.168.212.37,39.1.101.199,3659,3659,34
2.639652,39.1.101.199,192.168.212.37,3659,3659,69
2.639652,192.168.212.37,39.1.101.199,3659,3659,53
2.651237,192.168.212.37,39.1.101.199,3659,3659,69
2.660214,39.1.101.199,192.168.212.37,3659,3659,69
2.672181,192.168.212.37,39.1.101.199,3659,3659,69
2.681157,39.1.101.199,192.168.212.37,3659,3659,64
2.681157,39.1.101.199,192.168.212.37,3659,3659,69
2.692129,192.168.212.37,39.1.101.199,3659,3659,69
2.701701,39.1.101.199,192.168.212.37,3659,3659,69
2.713219,192.168.212.37,39.1.101.199,3659,3659,69
2.722195,39.1.101.199,192.168.212.37,3659,3659,69
2.732732,192.168.212.37,39.1.101.199,3659,3659,69
2.742705,39.1.101.199,192.168.212.37,3659,3659,34
2.742705,39.1.101.199,192.168.212.37,3659,3659,69
2.753491,192.168.212.37,39.1.101.199,3659,3659,69
2.762046,192.168.212.37,39.1.101.199,3659,3659,37
2.764009,39.1.101.199,192.168.212.37,3659,3659,69
2.773982,192.168.212.37,39.1.101.199,3659,3659,69
2.784952,39.1.101.199,192.168.212.37,3659,3659,69
2.790936,39.1.101.199,192.168.212.37,3659,3659,37
2.794927,192.168.212.37,39.1.101.199,3659,3659,69
2.805895,39.1.101.199,192.168.212.37,3659,3659,69
2.81587,192.168.212.37,39.1.101.199,3659,3659,69
2.826839,39.1.101.199,192.168.212.37,3659,3659,69
2.836815,192.168.212.37,39.1.101.199,3659,3659,69
2.847563,39.1.101.199,192.168.212.37,3659,3659,69
2.857537,192.168.212.37,39.1.101.199,3659,3659,69
2.868508,39.1.101.199,192.168.212.37,3659,3659,69
2.868508,192.168.212.37,39.1.101.199,3659,3659,34
2.877483,192.168.212.37,39.1.101.199,3659,3659,69
2.888454,39.1.101.199,192.168.212.37,3659,3659,69
2.899425,192.168.212.37,39.1.101.199,3659,3659,69
2.910401,39.1.101.199,192.168.212.37,3659,3659,69
2.924363,192.168.212.37,39.1.101.199,3659,3659,69
2.930387,39.1.101.199,192.168.212.37,3659,3659,69
2.949296,192.168.212.37,39.1.101.199,3659,3659,69
2.951293,39.1.101.199,192.168.212.37,3659,3659,69
2.972549,39.1.101.199,192.168.212.37,3659,3659,69
2.975541,192.168.212.37,39.1.101.199,3659,3659,69
2.986512,39.1.101.199,192.168.212.37,3659,3659,64
2.993493,39.1.101.199,192.168.212.37,3659,3659,69
3.001473,192.168.212.37,39.1.101.199,3659,3659,69
3.00247,35.215.187.112,192.168.212.37,50001,50697,60
3.014437,39.1.101.199,192.168.212.37,3659,3659,69
3.020472,39.1.101.199,192.168.212.37,3659,3659,85
3.020472,192.168.212.37,39.1.101.199,3659,3659,34
3.026405,192.168.212.37,39.1.101.199,3659,3659,69
3.034384,39.1.101.199,192.168.212.37,3659,3659,69
3.052338,192.168.212.37,39.1.101.199,3659,3659,69
3.055378,39.1.101.199,192.168.212.37,3659,3659,69
3.077292,39.1.101.199,192.168.212.37,3659,3659,69
3.078276,192.168.212.37,39.1.101.199,3659,3659,69
3.097256,39.1.101.199,192.168.212.37,3659,3659,69
3.102202,192.168.212.37,39.1.101.199,3659,3659,69
3.118182,39.1.101.199,192.168.212.37,3659,3659,69
3.124335,192.168.212.37,39.1.101.199,3659,3659,69
3.141289,39.1.101.199,192.168.212.37,3659,3659,69
3.147273,192.168.212.37,39.1.101.199,3659,3659,69
3.159343,39.1.101.199,192.168.212.37,3659,3659,69
3.168318,192.168.212.37,39.1.101.199,3659,3659,69
3.181284,39.1.101.199,192.168.212.37,3659,3659,69
3.189263,192.168.212.37,39.1.101.199,3659,3659,69
3.204222,39.1.101.199,192.168.212.37,3659,3659,69
3.210206,192.168.212.37,39.1.101.199,3659,3659,69
3.223172,39.1.101.199,192.168.212.37,3659,3659,69
3.23115,192.168.212.37,39.1.101.199,3659,3659,69
3.243119,39.1.101.199,192.168.212.37,3659,3659,69
3.252095,192.168.212.37,39.1.101.199,3659,3659,69
3.264062,39.1.101.199,192.168.212.37,3659,3659,69
3.272041,192.168.212.37,39.1.101.199,3659,3659,69
3.285006,39.1.101.199,192.168.212.37,3659,3659,69
3.292985,192.168.212.37,39.1.101.199,3659,3659,69
3.30595,39.1.101.199,192.168.212.37,3659,3659,69
3.312932,192.168.212.37,39.1.101.199,3659,3659,69
3.325903,39.1.101.199,192.168.212.37,3659,3659,64
3.326894,39.1.101.199,192.168.212.37,3659,3659,69
3.332878,192.168.212.37,39.1.101.199,3659,3659,69
3.347838,39.1.101.199,192.168.212.37,3659,3659,69
3.353442,192.168.212.37,39.1.101.199,3659,3659,69
3.368483,39.1.101.199,192.168.212.37,3659,3659,69
3.372472,192.168.212.37,39.1.101.199,3659,3659,69
3.388477,39.1.101.199,192.168.212.37,3659,3659,69
3.392425,192.168.212.37,39.1.101.199,3659,3659,69
3.40942,39.1.101.199,192.168.212.37,3659,3659,69
3.412372,192.168.212.37,39.1.101.199,3659,3659,69
3.430324,39.1.101.199,192.168.212.37,3659,3659,69
3.432319,192.168.212.37,39.1.101.199,3659,3659,69
